DfE number,Establishment,Phase,Status,Head title,Head name,Address 1,Address 2,Address 3,Address 4,Postcode,School ward,Telephone,Website,Nursery,Number of pupils on roll,Census date,Eastings,Northings,Latitude,Longitude,Cluster,Trust name,Sponsor name,Federation name,UPRN
4003,Trinity Sixth Form Academy,16 plus,Free schools 16 to 19,"",Mr Mike Fitzsimons,Northgate House,"","",Halifax,HX1 1UN,Town,014222 240033,https://sixth.trinitymat.org/,No,686,2022-01-20 00:00:00,409392,425282,53.72386,-1.85914,Secondary,TRINITY MULTI ACADEMY TRUST,Trinity Multi Academy Trust,"",10095601905
2067,Tuel Lane Infant School,Primary,Community school,Headteacher,Co Headteacher Judy Shaw,Clay Street,Tuel Lane,"",Sowerby Bridge,HX6 2ND,Sowerby Bridge,014228 831221,www.tuellaneinfantschool.org.uk/,Yes,86,2022-01-20 00:00:00,405850,423905,53.71155,-1.91285,Sowerby Bridge,"","","",100000000000
2027,Wainstalls School,Primary,Academy converter,Headteacher,Mrs Linda Waugh,Wainstalls,"","",Halifax,HX2 7TE,Luddendenfoot,014222 244804,http://www.wainstalls.org.uk,No,204,2022-01-20 00:00:00,404667,428435,53.75228,-1.93071,North Halifax,I-TRUST EDUCATION,I-Trust Education,"",100000000000
5208,Walsden St Peter's CE (VC) Primary School,Primary,Voluntary controlled school,Headteachers,Mrs Emma Crowther Esther Logue,Rochdale Road,Walsden,"",Todmorden,OL14 6RN,Todmorden,017068 812947,www.walsden.calderdale.sch.uk,No,168,2022-01-20 00:00:00,393178,422304,53.69687,-2.10441,Todmorden,"","","",10090368232
2028,Warley Road Primary Academy,Primary,Academy converter,Headteacher,Mrs Lesley Heathcote,Warley Road,"","",Halifax,HX1 3TG,Park,014223 353724,www.warleyroad.calderdale.sch.uk,Yes,566,2022-01-20 00:00:00,407281,424575,53.71756,-1.89115,Sowerby Bridge,IMPACT EDUCATION MULTI ACADEMY TRUST,Impact Education Multi Academy Trust,"",100000000000
2030,Warley Town School,Primary,Community school,Headteacher,Mrs Jenny Melling,Dark Lane,Warley,"",Halifax,HX2 7QD,Warley,014228 831592,http://www.warleytown.org.uk,No,140,2022-01-20 00:00:00,405668,424681,53.71853,-1.91559,Sowerby Bridge,"","","",100000000000
2016,West Vale Academy,Primary,Academy sponsor led,"",Mr Richard Pawson,Stainland Road,West Vale,"",Halifax,HX4 8LS,Greetland and Stainland,014223 372804,https://www.westvaleacademy.org.uk/,No,140,2022-01-20 00:00:00,409767,421282,53.68792,-1.85359,Elland,GREAT HEIGHTS ACADEMY TRUST,Great Heights Academy Trust,"",10006740089
2031,Whitehill Community Academy,Primary,Academy converter,Headteacher,Mr Jimmy Sayles,Occupation Lane,Illingworth,"",Halifax,HX2 9RL,Illingworth and Mixenden,014222 244471,www.whitehillacademy.org,Yes,703,2022-01-20 00:00:00,407493,428846,53.75594,-1.88784,North Halifax,I-TRUST EDUCATION,I-Trust Education,"",10006745330
2046,Withinfields Primary School,Primary,Community school,Headteacher,Mrs Helen York,Withinfields,Southowram,"",Halifax,HX3 9QJ,Town,014223 363581,http://www.withinfields.calderdale.sch.uk,Yes,344,2022-01-20 00:00:00,411113,424048,53.71275,-1.83311,East Calderdale,"","","",100000000000
7008,Wood Bank School,Special primary,Community special school,Headteacher,Mrs Jenna Port,Dene View,Luddenden,"",Halifax,HX2 6PB,Luddendenfoot,014228 884170,http://www.woodbank.calderdale.sch.uk/,No,109,2022-01-20 00:00:00,404035,425630,53.72707,-1.94032,Special,"","","",10010182464
2081,Woodhouse Primary School,Primary,Community school,Headteacher,Mrs Lynn Daveney,Daisy Road,"","",Brighouse,HD6 3SX,Rastrick,014847 714750,http://www.woodhouse.calderdale.sch.uk,No,419,2022-01-20 00:00:00,414820,421878,53.69316,-1.77704,East Calderdale,"","","",10010188915
