AtcoCode,CommonName,StopType,ShortCommonName,Street,Longitude,Latitude,ModifiedDate,CreatedDate,LocalityName,Easting,Northing
700000010291,Derrykeighan Cross,BusCoachTramOnStreetPoint,,,-6.4900213,55.14069182,09/07/2020,09/07/2020,Coleraine,296342,433653
700000010292,Church Lane,BusCoachTramOnStreetPoint,,,-6.4765453785,55.1318076014,09/07/2020,09/07/2020,Coleraine,297222,432683
700000010293,Dervock Bridge,BusCoachTramOnStreetPoint,,,-6.4689241555,55.1236246346,09/07/2020,09/07/2020,Coleraine,297729,431783
700000010294,Dervock Bridge,BusCoachTramOnStreetPoint,,,-6.46884547,55.1236326292,09/07/2020,09/07/2020,Coleraine,297734,431784
700000010295,Dervock Knock Road,BusCoachTramOnStreetPoint,,,-6.4708075678,55.1231542026,09/07/2020,09/07/2020,Coleraine,297610,431728
700000010296,Garrybog Cross,BusCoachTramOnStreetPoint,,,-6.4965773581,55.1073264669,09/07/2020,09/07/2020,Coleraine,296004,429930
700000010297,Drundult Houses,BusCoachTramOnStreetPoint,,,-6.5029533725,55.0964686695,09/07/2020,09/07/2020,Coleraine,295623,428713
700000010298,Route Avenue,BusCoachTramOnStreetPoint,,,-6.5092450458,55.0863352748,09/07/2020,09/07/2020,Coleraine,295245,427576
700000010299,Market Street,BusCoachTramOnStreetPoint,,,-6.5131776608,55.0797231813,09/07/2020,09/07/2020,Coleraine,295010,426835
700000010300,Market Street,BusCoachTramOnStreetPoint,,,-6.5156317205,55.0726568042,09/07/2020,09/07/2020,Coleraine,294869,426045
700000010301,Route Avenue,BusCoachTramOnStreetPoint,,,-6.5161862711,55.0724743736,09/07/2020,09/07/2020,Coleraine,294835,426024
700000010302,Drundult Houses,BusCoachTramOnStreetPoint,,,-6.5134567255,55.0793762373,09/07/2020,09/07/2020,Coleraine,294993,426796
700000010303,Dicks Lane,BusCoachTramOnStreetPoint,,,-6.5094382429,55.0863790528,09/07/2020,09/07/2020,Coleraine,295233,427581
700000010304,Gary  Bog  Cross,BusCoachTramOnStreetPoint,,,-6.5036135736,55.095569464,09/07/2020,09/07/2020,Coleraine,295583,428612
700000010305,126 Knock Rd,BusCoachTramOnStreetPoint,,,-6.4969608018,55.1071299717,09/07/2020,09/07/2020,Coleraine,295980,429908
700000010306,Veterinary Clinic,BusCoachTramOnStreetPoint,,,-6.496976801,55.1071211858,09/07/2020,09/07/2020,Coleraine,295979,429907
700000010307,Dervock,BusCoachTramOnStreetPoint,,,-6.4792156852,55.1228496204,09/07/2020,09/07/2020,Coleraine,297074,431682
700000010308,Dervock,BusCoachTramOnStreetPoint,,,-6.4795470749,55.1229401761,09/07/2020,09/07/2020,Coleraine,297053,431692
700000010309,Urbal  Road,BusCoachTramOnStreetPoint,,,-6.4703173909,55.1232648332,09/07/2020,09/07/2020,Coleraine,297641,431741
700000010310,71  Toberdoney  Road,BusCoachTramOnStreetPoint,,,-6.4651342083,55.133746114,09/07/2020,09/07/2020,Coleraine,297946,432915
